name,percent,color
"OCCUPATIONS OF NEGROES AND WHITES IN GEORGIA",,
"NEGROES",,
"AGRICULTURE, FISHERIES\nAND MINING",62,crimson
"DOMESTIC AND\nPERSONAL SERVICE",28,gold
"MANUFACTURING AND\nINDUSTRIES",5,steelblue
"TRADE AND\nTRANSPORTATION",4.5,tan
"PROFESSIONS",0.5,"rgb(101,67,33)"
WHITES,,
"AGRICULTURE, FISHERIES\nAND MINING",64,crimson
"DOMESTIC AND\nPERSONAL SERVICE",5.5,gold
"MANUFACTURING AND\nMECHANICAL INDUSTRIES",13.5,steelblue
"TRADE AND\nTRANSPORTATION",13,tan
"PROFESSIONS",4,"rgb(101,67,33)"
