"Category/Item",Begin,Duration,Id
,,,
"Student Focus Groups",,,
"Syllabus Collection",2023/06,2,sf1
"IRB Draft/Revision",2023/06,5,sf2
"Student Focus Groups",2023/12,6,sf3
"Implication from workstreams",2024/02,6,sf4
"Draft/Submit initial paper",2024/06,6,sf5
,,,
"Faculty Institute",,,
"IRB Draft/Revision",2023/06,5,fi1
"Recruitment",2023/11,3,fi2
"Roundtables",2024/03,2,fi3
"Recommendations",2024/03,3,fi4
"Draft/Submit initial findings",2024/06,3,fi5
"Debrief roundtables",2025/03,9,fi6
,,,
"Module Production",,,
"Syllabus Analysis",2023/08,1,mp1
"Prototypes for Student Surveys",2023/09,3,mp2
"Update Student Prototypes",2023/12,3,mp3
"Update Faculty Prototypes",2024/05,3,mp4
"Final Lesson Plans",2024/10,2,mp5
"Build Project Website",2024/12,4,mp6
,,,
"Student Surveys",,,
"IRB Draft/Revision",2023/09,8,ss1
"Create Survey Instruments",2024/06,1,ss2
"First wave pre-surveys",2025/01,2,ss3
"Analyze First wave post-surveys",2025/05,2,ss4
,,,
"Meetings",,,
"Online Joint Meeting",2023/06,0,me1
"Online Joint Meeting",2023/07,0,me2
"Online Joint Meeting",2023/08,0,me3
"Online Joint Meeting",2023/09,0,me4
"Fisk Joint Meeting",2023/10,0,me5
